Time,Mean1,Mean2,Mean4,Mean11,Mean56,Mean76,Background
1,462.018,445.568,407.62,394.038,834.934,384.957,285.921
2,458.977,445.799,412.731,396.885,830.914,384.408,285.172
3,458.411,445.67,412.397,397.369,829.258,385.877,283.028
4,456.947,445.194,411.17,396.267,824.599,387.656,283.773
5,455.568,445.033,409.58,393.903,826.298,389.465,285.612
6,455.01,445.06,409.817,393.784,825.005,392.831,287.132
7,455.1,447.787,410.144,395.062,823.057,396.367,288.115
8,459.499,455.606,409.224,398.075,820.673,400.845,288.056
9,465.863,459.604,409.747,399.029,817.318,400.042,286.79
10,468.544,461.086,409.369,398.461,814.614,397.247,285.894
11,466.091,458.402,411.472,398.711,812.811,392.981,284.435
12,466.471,460.038,410.975,400.957,818.587,399.849,285.278
13,462.021,453.902,407.19,397.879,815.79,397.024,286.818
14,460.694,453.023,404.629,398.137,814.756,400.371,285.599
15,464.42,457.672,407.395,398.824,810.613,401.862,285.964
16,461.474,454.082,410.046,400.606,808.126,406.265,288.008
17,470.002,459.524,424.672,405.4,808.242,415.582,288.952
18,492.431,469.063,471.443,414.684,808.692,426.532,287.861
19,535.902,491.153,519.304,432.843,804.51,428.755,287.813
20,592.605,538.914,539.327,457.601,804.542,428.322,287.773
21,649.541,595.42,541.96,468.563,800.034,421.143,287.501
22,690.077,645.865,542.386,470.662,799.381,421.954,287.798
23,715.88,668.637,539.927,465.135,797.681,417.505,287.836
24,730.574,676.345,538.216,452.411,798.436,410.85,287.219
25,732.869,676.177,531.26,440.885,795.076,403.569,286.913
26,729.744,667.216,522.092,425.646,792.344,396.179,288.302
27,718.779,650.307,508.38,413.831,791.665,392.584,287.076
28,699.996,622.9,490.762,403.856,792.221,389.714,286.468
29,673.753,588.642,470.953,397.318,792.604,387.131,287.069
30,642.213,549.61,447.794,392.425,788.603,386.084,285.884
31,605.194,510.574,427.658,390.024,784.562,384.515,285.798
32,567.357,480.239,414.473,387.667,785.379,381.171,283.972
33,533.578,462.861,405.707,386.381,781.796,378.821,284.222
34,505.691,452.407,399.536,384.806,782.337,376.817,285.378
35,482.984,446.667,396.655,384.309,782.303,376.72,284.202
36,468.267,444.01,395.565,383.272,782.674,375.243,284.424
37,457.698,441.014,394.908,382.956,785.4,375.05,284.525
38,449.399,440.187,395.575,383.006,780.715,373.212,284.202
39,444.608,437.769,394.189,382.559,776.094,372.203,283.643
40,441.558,437.783,395.033,381.997,778.398,371.652,283.414
41,438.301,438.041,393.485,382.336,778.972,372.091,282.103
42,436.185,437.51,393.586,381.606,776.133,371.54,282.929
43,435.011,436.227,394.7,381.574,774.83,371.617,283.32
44,433.696,435.641,394.601,381.947,776.667,370.989,281.827
45,432.925,435.245,394.033,380.881,773.641,371.472,282.216
46,432.052,433.852,393.6,380.627,776.445,372.094,280.472
47,431.01,433.455,394.637,380.07,776.103,371.671,281.562
48,430.057,433.468,394.413,380.096,771.573,370.044,281.696
49,430.385,433.085,394.181,380.046,772.773,370.109,281.651
50,428.962,432.083,393.851,378.867,771.292,370.976,281.44
51,429.322,431.084,392.941,378.599,773.95,370.594,282.148
52,429.009,430.437,391.161,377.734,773.467,370.991,279.985
53,427.51,429.793,390.81,377.609,772.191,369.808,281.675
54,427.892,429.752,391.001,377.214,770.8,370.162,281.045
55,426.82,429.85,390.118,376.474,767.625,370.644,281.387
56,427.336,429.555,389.505,375.474,767.028,371.654,281.016
57,427.014,429.478,389.144,374.887,766.132,370.95,281.849
58,426.325,429.028,390.409,374.5,766.591,369.892,281.399
59,426.183,428.51,389.514,375.373,767.797,369.671,281.183
60,425.588,429.459,390.077,374.853,764.244,369.956,280.606
61,425.77,428.786,390.12,374.212,767.121,368.827,281.495
62,425.979,428.487,390.61,374.425,761.702,369.33,280.225
63,425.988,428.588,389.493,374.935,764.574,369.852,282.476
64,425.193,427.741,388.676,374.143,763.714,369.862,280.626
65,426.089,428.275,389.335,374.152,768.698,368.837,281.685
66,424.225,426.871,389.727,373.6,762.767,368.726,281.435
67,423.69,425.882,389.222,373.123,761.968,368.655,280.589
68,423.403,425.162,390.349,373.101,761.016,368.621,280.818
69,423.383,426.336,388.177,372.979,761.905,368.592,280.334
70,423.594,425.539,389.204,372.452,761.364,367.695,279.395
71,423.536,425.599,387.48,372.183,758.596,368.041,280.476
72,422.397,424.889,386.971,371.591,759.186,367.852,280.982
73,422.29,423.89,386.491,371.595,757.132,366.837,280.598
74,423.148,423.441,386.877,371.748,758.136,367.162,280.694
75,422.24,423.43,385.928,371.485,757.22,366.412,280.289
76,421.618,423.398,385.801,371.314,758.757,366.235,279.406
77,420.685,423.4,385.207,370.777,754.489,366.219,279.902
78,421.141,422.569,385.908,370.513,755.338,365.56,280.538
79,422.615,422.511,384.877,369.906,763.027,365.783,282.646
80,420.962,421.046,384.807,369.422,754.215,365.676,279.106
